Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
COCH	COCH-5B2, DFNA31, DFNA9	ENSG00000100473	Cochlin	14	30874514-30895065	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA065086			Approved	Vesicles		Mixed	Group enriched	6	pancreas: 94.8;prostate: 79.0;seminal vesicle: 99.1	cervix, uterine: 15.4	Cell line enhanced		HEK93: 92.9;K-562: 114.9;NB-4: 71.8;SCLC-21H: 130.1
COQ2	CL640, FLJ26072	ENSG00000173085	Coenzyme Q2, polyprenyltransferase	4	83261536-83284914	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA056599, HPA068727	Approved		Approved	Cytosol		Expressed in all	Expressed in all			adrenal gland: 18.4	Expressed in all		
COQ8A	ADCK3, CABC1, COQ8, SCAR9	ENSG00000163050	Coenzyme Q8A	1	226897536-226987545	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA061662			Supported	Mitochondria		Expressed in all	Tissue enriched	6	skeletal muscle: 401.8	adrenal gland: 68.1	Cell line enhanced		HEK93: 75.6
COQ8B	ADCK4, COQ8, FLJ12229	ENSG00000123815	Coenzyme Q8B	19	40691529-40718207	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA027229, HPA027277, HPA027279, HPA028303	Enhanced		Enhanced	Mitochondria		Expressed in all	Expressed in all			fallopian tube: 41.1	Expressed in all		
CORIN	ATC2, CRN, Lrp4, PRSC, TMPRSS10	ENSG00000145244	Corin, serine peptidase	4	47593998-47838106	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA070941			Approved	Nuclear bodies<br>Plasma membrane<br>Actin filaments		Mixed	Tissue enhanced		heart muscle: 38.6	skin: 9.4	Group enriched	6	ASC diff: 7.2;ASC TERT1: 31.6
COX4I2	COX4-2, COX4B, COX4L2, COXIV-2, dJ857M17.2	ENSG00000131055	Cytochrome c oxidase subunit 4I2	20	31637888-31645006	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level						Head and neck cancer:6.04e-5 (favourable), Renal cancer:9.78e-4 (unfavourable)	Expressed in all	Group enriched	5	lung: 42.8;placenta: 157.5	thyroid gland: 19.3	Cell line enriched	5	SH-SY5Y: 1.8
COX5A		ENSG00000178741	Cytochrome c oxidase subunit 5A	15	74919791-74938168	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA027526	Supported				Renal cancer:6.06e-7 (favourable), Cervical cancer:2.15e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 548.4	Expressed in all		
CP		ENSG00000047457	Ceruloplasmin	3	149162410-149222055	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001834, CAB008591	Supported				Renal cancer:1.14e-7 (unfavourable)	Tissue enhanced	Tissue enriched	9	liver: 916.0	cervix, uterine: 99.1	Cell line enriched	12	EFO-21: 273.0
CPA6	CPAH	ENSG00000165078	Carboxypeptidase A6	8	67422038-67746385	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		prostate: 4.9;rectum: 2.9	colon: 1.7	Cell line enhanced		CACO-2: 2.9;EFO-21: 1.8;Hep G2: 3.6
CPN1		ENSG00000120054	Carboxypeptidase N subunit 1	10	100042193-100081877	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA040323			Approved	Nucleus<br>Nucleoli		Group enriched	Tissue enriched	22	liver: 37.1	testis: 1.7	Cell line enriched	16	SK-MEL-30: 110.4
CPOX	CPO, CPX, HCP	ENSG00000080819	Coproporphyrinogen oxidase	3	98521132-98593723	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA015736, HPA054448			Enhanced	Mitochondria	Renal cancer:1.04e-5 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 25.5	Expressed in all		
CPT1C	CPT1P, CPTIC, FLJ23809	ENSG00000169169	Carnitine palmitoyltransferase 1C	19	49690898-49713731	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA014529, HPA063621	Approved		Approved	Centrosome	Pancreatic cancer:1.84e-4 (favourable)	Tissue enhanced	Tissue enhanced		cerebral cortex: 34.2	adrenal gland: 7.0	Cell line enhanced		AF22: 39.0;SH-SY5Y: 74.9
CREBBP	CBP, KAT3A, RSTS, RTS	ENSG00000005339	CREB binding protein	16	3725054-3880726	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004212, HPA055861	Enhanced		Enhanced	Nucleoplasm<br>Nuclear bodies	Renal cancer:6.24e-5 (favourable)	Expressed in all	Expressed in all			testis: 61.7	Expressed in all		
CRYM	DFNA40	ENSG00000103316	Crystallin mu	16	21238874-21303083	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA019086, HPA030619	Enhanced		Supported	Cytosol		Tissue enhanced	Group enriched	6	cerebral cortex: 51.1;heart muscle: 47.8;kidney: 28.4;prostate: 24.7;urinary bladder: 14.8	lung: 5.7	Cell line enhanced		HEL: 9.4;RPTEC TERT1: 32.9;U-87 MG: 8.7
CSNK1D	CKID, CKIdelta, HCKID	ENSG00000141551	Casein kinase 1 delta	17	82239023-82273731	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB015410	Approved		Supported	Nucleus<br>Nucleoli fibrillar center	Liver cancer:2.38e-6 (unfavourable), Pancreatic cancer:9.62e-5 (favourable), Endometrial cancer:7.04e-4 (unfavourable), Renal cancer:8.34e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 66.9	Expressed in all		
CSNK2A1		ENSG00000101266	Casein kinase 2 alpha 1	20	473591-543821	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB020680, HPA059206, HPA061698, CAB069395	Enhanced		Supported	Nucleoplasm	Liver cancer:4.11e-6 (unfavourable)	Expressed in all	Expressed in all			testis: 129.5	Expressed in all		
CSTB	CST6, EPM1, PME, STFB	ENSG00000160213	Cystatin B	21	43772511-43776445	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA017380, CAB047320, HPA058557	Enhanced		Supported	Nucleoli<br>Cytosol	Liver cancer:6.66e-5 (unfavourable), Renal cancer:2.10e-4 (unfavourable)	Expressed in all	Tissue enriched	8	esophagus: 1822.8	tonsil: 228.0	Expressed in all		
CTDP1	FCP1	ENSG00000060069	CTD phosphatase subunit 1	18	79679801-79756623	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB032641, HPA040394, HPA070389	Supported		Approved	Nucleoplasm<br>Vesicles	Renal cancer:5.51e-5 (favourable), Endometrial cancer:6.43e-4 (favourable)	Expressed in all	Expressed in all			testis: 19.6	Expressed in all		
CTH		ENSG00000116761	Cystathionine gamma-lyase	1	70411218-70439851	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA021591, HPA023300	Enhanced				Liver cancer:8.69e-4 (favourable)	Group enriched	Expressed in all			liver: 73.2	Cell line enhanced		Karpas-707: 52.3;SK-MEL-30: 75.8
CTNS	CTNS-LSB, PQLC4	ENSG00000040531	Cystinosin, lysosomal cystine transporter	17	3636468-3661542	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA046947			Supported	Vesicles<br>Intermediate filaments	Pancreatic cancer:6.39e-5 (favourable), Head and neck cancer:7.33e-4 (favourable)	Expressed in all	Expressed in all			testis: 42.6	Expressed in all		
CTPS1	CTPS	ENSG00000171793	CTP synthase 1	1	40979335-41012565	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB017111, HPA051322	Enhanced		Supported	Actin filaments<br>Cytosol		Expressed in all	Expressed in all			smooth muscle: 80.2	Expressed in all		
CTRC	CLCR, ELA4	ENSG00000162438	Chymotrypsin C	1	15438439-15449242	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA046920	Enhanced					Tissue enriched	Tissue enriched	361	pancreas: 18186.4	ovary: 50.3	Not detected		
CTSA	GSL, PPGB	ENSG00000064601	Cathepsin A	20	45890144-45898820	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB024930, HPA031068	Enhanced		Enhanced	Vesicles	Liver cancer:1.95e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 243.4	Expressed in all		
CTSC	DPP1, PALS, PLS	ENSG00000109861	Cathepsin C	11	88293592-88337787	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB025364, HPA066610, HPA068434	Enhanced		Supported	Vesicles	Liver cancer:9.30e-5 (unfavourable), Renal cancer:4.80e-4 (favourable)	Expressed in all	Expressed in all			lung: 390.4	Expressed in all		
CTSD	CLN10, CPSD	ENSG00000117984	Cathepsin D	11	1752752-1764573	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000109, HPA003001	Enhanced				Renal cancer:4.93e-5 (favourable), Colorectal cancer:2.46e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 1026.9	Expressed in all		
CTSF	CATSF, CLN13	ENSG00000174080	Cathepsin F	11	66563463-66568841	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB002141, HPA031431, HPA055610	Approved		Approved	Vesicles<br>Plasma membrane<br>Cytosol	Renal cancer:8.92e-7 (favourable)	Expressed in all	Expressed in all			ovary: 140.6	Cell line enhanced		SK-MEL-30: 123.6
CTSK	CTSO, CTSO2, PKND, PYCD	ENSG00000143387	Cathepsin K	1	150796208-150808323	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050346			Supported	Vesicles	Renal cancer:7.12e-5 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 575.0	Group enriched	6	ASC diff: 1592.3;ASC TERT1: 590.6;BJ hTERT+: 1576.7
CX3CR1	CCRL1, CMKBRL1, CMKDR1, GPR13, V28	ENSG00000168329	C-X3-C motif chemokine receptor 1	3	39263494-39281735	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA030311, CAB032478, HPA046587, HPA077743	Approved		Approved	Nucleus		Tissue enhanced	Tissue enhanced		cerebral cortex: 59.2	spleen: 16.6	Cell line enriched	18	RPMI-8226: 409.2
CYB5R3	DIA1	ENSG00000100243	Cytochrome b5 reductase 3	22	42617840-42649568	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA001566	Approved		Enhanced	Endoplasmic reticulum	Liver cancer:2.13e-5 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 339.4	Expressed in all		
CYBA	p22-PHOX	ENSG00000051523	Cytochrome b-245 alpha chain	16	88643283-88651152	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB009492	Enhanced				Endometrial cancer:4.75e-5 (favourable), Renal cancer:1.83e-4 (unfavourable), Breast cancer:8.19e-4 (favourable)	Expressed in all	Expressed in all			spleen: 466.1	Cell line enhanced		RPMI-8226: 1035.0
CYBB	CGD, GP91-PHOX, NOX2	ENSG00000165168	Cytochrome b-245 beta chain	X	37780011-37813461	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA051227	Enhanced					Expressed in all	Tissue enhanced		appendix: 215.6	lung: 132.2	Group enriched	5	Daudi: 37.3;NB-4: 40.0;REH: 49.1;RPMI-8226: 143.6
CYLD	CYLD1, KIAA0849, USPL2	ENSG00000083799	CYLD lysine 63 deubiquitinase	16	50742050-50801935	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB011713, HPA050095	Approved		Supported	Nucleoplasm<br>Microtubule organizing center		Expressed in all	Expressed in all			testis: 70.2	Expressed in all		
CYP11B2	ALDOS, CPN2, CYP11B, CYP11BL, P-450C18, P450aldo	ENSG00000179142	Cytochrome P450 family 11 subfamily B member 2	8	142910559-142917843	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA049171, HPA056348, HPA057752	Supported					Not detected	Tissue enriched	1057	adrenal gland: 126.3	testis: 0.1	Not detected		
CYP1B1	CP1B, GLC3A	ENSG00000138061	Cytochrome P450 family 1 subfamily B member 1	2	38066973-38109902	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB011705, HPA026863	Approved		Uncertain	Mitochondria	Renal cancer:4.39e-6 (unfavourable), Urothelial cancer:2.76e-4 (unfavourable)	Expressed in all	Mixed			fallopian tube: 76.1	Cell line enhanced		HSkMC: 400.2;SiHa: 283.9;U-87 MG: 138.5
CYP21A2	CA21H, CAH1, CPS1, CYP21, CYP21B, P450c21B	ENSG00000231852	Cytochrome P450 family 21 subfamily A member 2	6	32038265-32041670	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA048979, HPA053371	Enhanced					Tissue enhanced	Tissue enriched	257	adrenal gland: 266.4	epididymis: 1.0	Group enriched	5	HDLM-2: 6.1;Karpas-707: 1.2
CYP24A1	CP24, CYP24, P450-CC24	ENSG00000019186	Cytochrome P450 family 24 subfamily A member 1	20	54153449-54173973	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA022261, HPA063771	Enhanced		Supported	Nucleoplasm<br>Plasma membrane<br>Mitochondria		Mixed	Tissue enhanced		endometrium: 24.8;urinary bladder: 50.8	placenta: 14.1	Group enriched	13	A549: 372.2;Hep G2: 83.4
CYP27A1	CP27, CTX, CYP27	ENSG00000135929	Cytochrome P450 family 27 subfamily A member 1	2	218781749-218815293	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA059155	Enhanced		Enhanced	Mitochondria	Liver cancer:8.62e-6 (favourable), Breast cancer:1.05e-4 (favourable)	Expressed in all	Tissue enhanced		liver: 279.5	lung: 98.4	Cell line enhanced		Hep G2: 187.0;RPTEC TERT1: 50.8;SK-MEL-30: 86.7;WM-115: 42.3
CYP27B1	CYP1, P450c1, PDDR, VDD1	ENSG00000111012	Cytochrome P450 family 27 subfamily B member 1	12	57762334-57768986	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level						Thyroid cancer:6.79e-4 (unfavourable)	Mixed	Tissue enhanced		kidney: 4.3;thyroid gland: 3.9	appendix: 1.2	Cell line enriched	8	RH-30: 47.8
CYP2R1		ENSG00000186104	Cytochrome P450 family 2 subfamily R member 1	11	14877440-14892252	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042949	Approved				Renal cancer:2.86e-4 (unfavourable)	Expressed in all	Mixed			skin: 8.1	Cell line enhanced		Karpas-707: 18.6
CYP2U1	SPG49	ENSG00000155016	Cytochrome P450 family 2 subfamily U member 1	4	107931369-107953457	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA041622, HPA046754, HPA064827	Uncertain		Approved	Nucleoplasm<br>Golgi apparatus<br>Vesicles	Renal cancer:2.75e-5 (favourable), Stomach cancer:6.97e-4 (unfavourable)	Expressed in all	Mixed			prostate: 15.7	Mixed		
CYP4F2		ENSG00000186115	Cytochrome P450 family 4 subfamily F member 2	19	15878023-15898120	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA014048, HPA017265, HPA058960	Supported					Tissue enriched	Group enriched	6	duodenum: 78.2;epididymis: 28.0;kidney: 39.3;liver: 84.6;small intestine: 84.3	prostate: 10.4	Cell line enhanced		Hep G2: 2.5
CYP4V2	CYP4AH1	ENSG00000145476	Cytochrome P450 family 4 subfamily V member 2	4	186191520-186213456	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA029122	Approved		Approved	Nuclear speckles	Renal cancer:1.49e-7 (favourable), Liver cancer:1.85e-4 (favourable), Endometrial cancer:5.86e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 65.1	liver: 47.4	Cell line enhanced		SK-MEL-30: 19.3
CYP7B1	SPG5A	ENSG00000172817	Cytochrome P450 family 7 subfamily B member 1	8	64587763-64798761	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA017761	Uncertain					Mixed	Tissue enhanced		parathyroid gland: 40.3	thyroid gland: 22.4	Cell line enhanced		HSkMC: 11.3;SH-SY5Y: 6.2;WM-115: 11.7
DARS		ENSG00000115866	Aspartyl-tRNA synthetase	2	135906677-135986100	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA020451, HPA029804, HPA029805	Enhanced		Enhanced	Cytosol	Liver cancer:2.39e-6 (unfavourable), Renal cancer:1.24e-5 (unfavourable), Pancreatic cancer:6.54e-4 (unfavourable), Melanoma:7.57e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 91.0	Expressed in all		
DARS2	FLJ10514	ENSG00000117593	Aspartyl-tRNA synthetase 2, mitochondrial	1	173824503-173858546	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA026506, HPA026528	Enhanced		Supported	Nucleus<br>Mitochondria	Renal cancer:1.74e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 24.9	Expressed in all		
